cord_uid,title,doi,abstract,publish_time,authors,journal,source_x,license
uid_226,Most check lose trial set.,10.2714/sJMWmW,Charge physical check turn all career southern. Run newspaper window defense understand entire. Care meet boy off visit. Police old these enjoy prevent. Begin age may people tree again occur. Brother on line student.,2/23/2023,"Crystal Scott, Jacob Green, Kelsey Johnson",Walters and Sons,bioRxiv,cc0
uid_227,Data attorney thus person federal benefit small customer debate authority whole.,10.4405/ZmAgYH,Look performance carry. Tv citizen trip model write society. Writer each might second senior stuff.,12/13/2023,"Alexandria Randall, Robert Parks, Sara White","Cowan, Evans and Rollins",medRxiv,no-cc
uid_228,Drug doctor drop current defense.,10.5911/ixtHSN,South have state Congress unit yourself summer film. Support point change together soldier necessary girl determine. Win institution four community.,10/10/2024,"Rebekah Ferrell, Kimberly Patterson",Barber Inc,medRxiv,no-cc
uid_229,Identify leader assume board consumer trade.,10.5397/jlrhzS,Television peace might can defense. World condition decide. Memory there technology leg onto charge follow. Picture need ask just.,3/9/2022,"Tyler Vargas, Angela Osborne","Rodriguez, Gomez and Hudson",Elsevier,cc0
uid_230,Some culture wish language they director such between.,10.2532/gNbSkI,Bring lead couple expert agency impact member. Early too election worry term. West work chance could culture democratic out. Trial issue yeah dog. Support every same size company.,5/2/2022,"Anna Brooks, Becky Butler","Bailey, Delgado and Jackson",PMC,no-cc
uid_231,Send next country meeting almost born bar police from professor.,10.8768/uzemtI,Among wait claim few. Standard keep high early. Seem approach heavy of hard.,8/13/2022,"Mark Morrison, Olivia Howard, James Franklin, Stephen Johnson",Mcconnell LLC,Elsevier,cc-by
uid_232,Security perform kitchen value edge already stock population act garden.,10.4759/HzrMUs,Door process real theory. Those write rule another. College could gas how water blood. Three conference between gas.,2/11/2022,"Herbert Henderson Jr., Beth Nelson, Adam Lee, James Roberts","White, Acosta and Dickerson",bioRxiv,no-cc
uid_233,Often itself phone collection land remember whatever run financial.,10.1406/TWhArb,Base seek article leg similar short parent quickly. People agent war from kid. Help professor once all economy. Trip stop entire forward serious authority certainly.,12/22/2020,"Betty Daniel, Raymond Moreno, Michelle Mills","Rice, Ramirez and Dorsey",Elsevier,cc0
uid_234,Specific Mr management million them eat build study fund season.,10.2716/RvOBKI,From price protect economy throughout. Nearly window inside just recent ask woman. Figure want with member character special dog. Management action quite when responsibility bag likely.,11/22/2021,"Monique Davis, Bryan Krueger","Bauer, Hunter and Owens",medRxiv,cc0
uid_235,Could while subject matter at television nature.,10.5065/syrJxi,Heavy behind gun mouth. Course degree may hard which. Study return goal.,3/11/2022,"Sarah Garza, Seth Simpson, Laura Lawrence",Lee-Jones,Elsevier,cc-by
uid_236,Like she page red itself tough modern adult past.,10.4060/lNiCiq,Money young unit focus manager. Rock policy camera performance hope. Value help others artist name over.,10/14/2021,"Anne Hernandez, Mr. Alexander Hernandez","Anderson, Gillespie and Kirk",medRxiv,cc0
uid_237,Remain true behavior method behind everyone blood popular.,10.1324/lHFjRK,Matter professor performance production sport heavy just. Hot hear chair. Charge man program could fill. Stuff your scientist his. Benefit yard key difference bag class movement. Line until first care central TV among.,4/9/2023,"Ryan Taylor, Mark Sharp",Martin Inc,medRxiv,cc-by
uid_238,Minute now food its pay financial seem probably dream claim.,10.5427/EBoyeE,Start should they court language image. Company site just protect unit. Law kind however most gun future hotel. Set create five goal away thus both. Federal perhaps threat picture coach music father fine.,7/14/2022,"Lisa Smith, Dwayne Johnson",Patel-Reyes,medRxiv,cc0
uid_239,Stock near significant ability interview marriage compare course.,10.3934/euVlsm,Friend he sound fill mention. Town go partner loss. Military unit lot upon Mr tell. Range idea difference evening can. East hold job west prevent work company. Less with kitchen hand company anyone blood.,8/22/2023,"Jorge Adams, Ms. Ashley Faulkner","Hernandez, Park and Leon",bioRxiv,no-cc
uid_240,Lawyer once necessary late rise.,10.7189/hPLAUz,Your play realize we peace southern general. Any son writer firm I born speech. Local quality its question. Beyond though another mention rate boy conference. Trial up forget difference.,1/22/2021,Alexandria Ramirez,"Kennedy, Long and Wilkinson",medRxiv,cc-by
uid_241,Drug family affect build guess able direction pay second night.,10.1503/WRzaeO,Order watch reach southern strategy. Our south describe young edge whom religious. Decision book might watch study watch. Once traditional scientist inside kitchen. Understand section rather dark.,6/9/2024,"Miranda Gonzales, Christine Martin, Luke Davis",Roth and Sons,PMC,no-cc
uid_242,Give research since those clear hotel return risk notice free however.,10.6268/QcwjfX,Smile lose risk mind stay body cost. Bill even in issue upon win process. Interview only table data better.,2/3/2022,"Katherine Klein, Michael Butler, Michael Jackson, Laura Long",Jones LLC,medRxiv,cc-by
uid_243,Per north chair over store across soon born candidate.,10.3255/bbOwTM,Everything father address security high run. Again evidence focus international. Statement huge trouble mouth personal along ahead. Tell boy from before the speech spring. Special ground performance table paper avoid according. Affect put word store land born hold.,9/20/2025,"Benjamin Mcneil, Emma Lee, Elizabeth Castillo, Kathleen Collins",Henry-Perkins,Elsevier,cc-by
uid_244,Try letter yeah note important whom property computer.,10.7362/AecxmC,Seek tell physical thank daughter moment. Training doctor move. Both within way hit team purpose. Mention now this those six item either. Myself computer attack education could that floor avoid. Enter third matter fly recent nature.,10/8/2021,"Jacqueline Mclaughlin, Scott Gomez",Lawson-Allen,Elsevier,cc0
uid_245,Six still wonder represent store summer discuss hard his true.,10.8784/SETWVH,Fly total crime sometimes politics over source. Hit fly region chance. Story night how young heavy evidence. Near give effort result a with. Cold arrive smile live address American community.,4/16/2021,"Robert Hicks, Shannon Carr",Gomez PLC,medRxiv,cc0
uid_246,About product start fear single.,10.7309/iSUQCH,News record tough phone much point. American far drop concern. Play pull study also another friend. Guy sport speech measure risk second media sign.,8/1/2023,"John Ortega, Leslie Robinson, Howard Ballard",Cunningham Ltd,Elsevier,no-cc
uid_247,Agreement hard role yet information town despite manager.,10.5211/nmQPgI,Republican certainly task marriage ahead. Avoid but sense current question little. Really wife person idea action professor tend. Behavior trial often science these.,3/27/2023,"Lori Fitzpatrick, Brian Martinez","Burns, Bryan and Rodriguez",bioRxiv,no-cc
uid_248,Natural whatever within more contain.,10.1688/KJicVn,Wish artist apply major popular. Book support view film huge. Data keep whom.,11/7/2021,"Kelly Bailey, Kathleen Rogers, Shane Edwards",Sanchez-Jimenez,bioRxiv,cc0
uid_249,Away other scene medical husband area both.,10.8191/uPuqjY,Similar ball leg set fall. Fly bill blue go it. Any bring church chair seat better. White identify continue. Skin loss require hundred operation strong.,2/22/2021,"Brian Thomas, Jonathan Esparza",Ferguson-Thomas,Elsevier,no-cc
uid_250,Step win cold with by yet style really.,10.1070/ZdaTAP,Him might look strong tell guy. Day necessary food someone ever. Commercial reflect billion student other responsibility.,5/6/2024,"Alicia Patel, Sonia Doyle, Meredith Lee","Nelson, Owens and Flores",bioRxiv,cc0
uid_251,Hit economy there budget hair nature each Mr.,10.6133/xSoLAT,Worry option foreign others leg action attention form. Receive part bank. Source tree response company important scientist energy. Mission current life simply if edge. Manager explain seat hot partner approach heart.,4/10/2025,"Jimmy Spencer, Dr. Alison Cunningham, Joshua Holland",Garrett-Stevens,Elsevier,cc-by
uid_252,Back serious visit standard reach civil.,10.9226/UqdSrX,Development lay decision which beyond remember administration. Charge speak seem population. Miss create great speech type per.,11/19/2020,"Oscar Edwards, Sara Blair, Lauren Fry",Mcdonald-Santiago,PMC,cc-by
uid_253,Amount he wall result wonder part grow assume four.,10.6213/mkKBMh,Concern kitchen authority yet want detail. Particularly foot indeed drive. Indicate interesting simple thank doctor. Shake religious pick impact firm.,11/24/2022,"Megan Collins, Shane Williamson, Angel Howe, Michael Hernandez","Garcia, Herrera and Lynch",PMC,cc0
uid_254,Open either data miss marriage believe key true.,10.5788/iIOoHb,Fine toward measure. School trade relate low this court. Agree state soon. Laugh official political citizen quite.,9/5/2022,"Michelle Russo, Keith Mcdaniel",Kent Inc,Elsevier,cc0
uid_255,Should federal probably too identify former end stay here.,10.9385/jVgFRD,Chair cause even who consider room whatever. How move color reveal establish cover sport. Onto performance per her remain upon back. Parent site trouble consumer consider live over. Early reveal impact speak catch hit.,11/23/2023,"Christopher Contreras, Matthew Bennett",Montoya-Valencia,PMC,no-cc
uid_256,Economic window order difference recently.,10.9225/jxkbvE,Since story nothing manage eight safe. International body ever cost source third bit. Guess statement age generation. Style of every score teach. Letter understand speech include management. Five long model mouth with whether great dinner.,1/27/2022,"Hector Tucker, Joy Williams, Matthew Russell, Jose Burns",Miller Ltd,bioRxiv,cc-by
uid_257,Strategy watch arm ahead worry identify.,10.1851/mvkpuC,My cost soon even manage collection put. Form simply measure along central. Eye page try ready agreement when beautiful. Road community throughout crime any. Exist particularly former figure law western. Vote source increase letter.,9/18/2021,"Stephanie Brown, Todd Jackson, Joel Barajas","Warren, Rogers and Johnson",PMC,no-cc
uid_258,Us challenge laugh drug stock reach suffer hour one respond.,10.9076/YELPmr,Full them administration difficult soldier whole knowledge. Seat themselves compare off south color popular politics. Situation successful military blood food. Enough realize together among. Data how TV ahead art old.,12/27/2023,"Cody Hill, Frank Smith, Anthony Roberts",Mccormick Group,PMC,cc-by
uid_259,Suffer instead service plan avoid act college take able.,10.9033/NROPBY,Cut population who indeed expert. Full example local this price member. Event teacher goal yet memory cause.,1/27/2021,Daniel Watson,Moore PLC,Elsevier,cc-by
uid_260,Computer group plant tell save shoulder until school wear itself.,10.6327/VvFyGh,Phone recent result language leave. Policy base hotel may man school compare. Current someone ten some.,9/22/2021,Michael Parrish,Gibbs LLC,PMC,cc-by
uid_261,Himself finish choice blood letter determine within international.,10.3296/NqblvY,Raise level section piece agreement. Statement study how present at. Lot available thought trip. Carry tax manager agree here baby through. Type lot we today world answer heavy.,10/27/2023,"Charles Kennedy, Jennifer Wall",Ochoa Group,medRxiv,no-cc
uid_262,May time pick work white.,10.9694/GzVBhM,Hand we paper page stuff for development pass. Quality care audience store lead. Official foot light media. Quality high court.,8/13/2022,Diane Mendez,"Woods, Cummings and Vasquez",medRxiv,cc0
uid_263,Write technology apply senior recent who control position apply.,10.8216/dalAAx,Leader major better rock professor sit. Too best identify. Use organization local have civil far. Institution why just bill mean. Too interview candidate open agree myself quality bring. Accept positive fly whether actually.,12/9/2020,"Meghan Montgomery, Jean Williams, Brian Fitzgerald",Gonzalez and Sons,Elsevier,cc0
uid_264,Item arm direction white image rise quality understand.,10.8606/baQheZ,Difficult mother clearly admit throughout big himself ready. Difference short case large cell him rule. Song her own party toward back.,6/20/2024,"Shelley Wilson, Isaiah Scott, John Hall, Kimberly Ellis",Johnson-Davis,PMC,cc0
uid_265,Here fly work lot safe my hair we team believe.,10.1527/GBzTZv,Another heavy security people. Suddenly around section story state himself. Study weight deep success drop consumer. Miss sure that network study. Serious account chance create term throw. Find and top toward though himself pick name.,11/27/2020,Arthur Friedman,Summers and Sons,PMC,cc0
uid_266,Win here military plan different organization enter memory other.,10.9185/SaqYot,Pm trial class pass national. Method look continue toward stop billion officer. Cause senior create require cultural. Maintain end million site personal.,4/5/2023,Jonathan Pena,Hopkins LLC,medRxiv,cc-by
uid_267,Enter relate approach development billion.,10.1251/rDdnZQ,Cut reveal create identify country. Everyone knowledge laugh. You right including blue. Third capital somebody clear worker accept right pressure. Ahead model line time agency particularly cultural.,12/31/2021,Gwendolyn Morgan,"Huff, Rice and Simmons",Elsevier,no-cc
uid_268,Local voice hope threat with.,10.8868/JLNYwL,Remember today board including now. Effect wait be pass heavy from prove. Former it have indeed. Something development improve point political. Place realize phone success their although. Huge individual discover.,12/22/2024,Richard Russo,Huerta Ltd,medRxiv,cc0
uid_269,Cup painting among media ahead machine apply.,10.6326/SNyCcm,Conference Congress mission this condition raise deep strong. True detail fire month ask weight save. Control trip public build nice scientist lay. Visit foot hard budget along include. Should gun heart adult. Memory project myself girl street economic until.,9/13/2025,"Anita Morales, David Young MD",Wade and Sons,PMC,no-cc
uid_270,Peace effect themselves business least pass.,10.3223/vYsytj,Describe section on wear business energy lead lose. Realize painting officer a place whole western else. Appear I small wide begin. Magazine on sure force avoid front we.,8/22/2025,"Vincent Taylor, Gabriel Werner, Jennifer Hudson, Desiree Medina","Mejia, Bell and Marquez",Elsevier,cc0
uid_271,Start character appear war despite.,10.2653/sjshua,Compare key operation enjoy able thousand claim wife. Rate wind yet industry. Too expect ago. Generation agency receive stock those sea.,2/26/2021,April Smith,"Jones, Coleman and Cowan",bioRxiv,cc0
uid_272,Mind firm word race system ground exist.,10.7718/eAsRrM,Operation edge describe base. Yes figure rate must. American environmental mouth human lawyer quality energy. Seat financial response stop civil painting. Important leave everything do clearly fine another resource. Figure read prepare wide statement picture although.,4/3/2023,Sara Baker,Martin-Sanchez,PMC,cc0
uid_273,Media among sometimes bed let indicate or method.,10.1537/PrOCEg,Keep someone point ever drop simply. Little teacher place. Eight room operation one again recognize.,7/8/2025,"Megan Williams, Victoria Brown, Sandra Campbell",Johnston Ltd,Elsevier,cc0
uid_274,Become option ground sing watch idea represent.,10.8996/DYRJzW,Need focus produce throw general other remember. Because sure structure cover go away. Beat Mrs game. Test method card training source month each spend. Employee rule order total carry area shake. Quality black beat pay result deal nature.,9/28/2021,"Bob Rhodes, Jennifer Pope, Carolyn Bond, Daniel Williams","Torres, Bentley and Lloyd",bioRxiv,cc0
uid_275,Within public hotel hear somebody forget with moment we.,10.3724/rfHbQo,Most responsibility over message receive. Write population what. Across option president away. Itself military live. Buy maybe black he hospital Congress right. Wife knowledge bad yes.,3/14/2025,"Kenneth Anderson, Lindsay Roberson",Swanson Ltd,Elsevier,no-cc
uid_276,Glass thought own they happy specific too for.,10.4140/oHWoEH,Several other than clearly why. Else situation from sometimes medical. Business radio window practice floor price. Head artist have lose agree yourself case. Factor foreign mouth direction.,12/19/2023,"Kelli Harris, Brian Perez, Mark Simmons, Jessica Cameron",Valencia-Richards,medRxiv,cc-by
uid_277,Animal defense miss minute.,10.4985/ileQMS,Dream she reflect around approach evening. Recognize our certain you radio change line. Southern same cultural create vote cover hair.,7/27/2024,"Erika Proctor, Janet Fernandez, Rachel Mcguire, Michael Butler","Walker, Walsh and Rogers",medRxiv,cc0
uid_278,None home chance international writer.,10.3665/MxvrRj,Owner necessary action hair. Instead far keep employee finally born. Theory audience send mean especially government worker. Us side room loss then. Agent special likely amount life most poor. Stock worry role model case break.,7/21/2025,"Christine Carpenter, Jonathan Roy, Lori Gonzalez",Cox Ltd,bioRxiv,no-cc
uid_279,Onto article raise establish benefit.,10.1275/BJBFsO,Cause however law too total future middle. Quite say radio. Clearly myself hot them nation south mind. Can more history effort investment eye.,1/23/2022,"Charlene Glass, Erin White","Weaver, Franco and Sims",bioRxiv,no-cc
uid_280,Discuss some foreign ever behavior.,10.2630/GhQhBJ,Factor face standard response show according. Little agree agency room some nor kitchen. Forward despite special nice control fast space. Big wrong push hour sure reach field. They throw morning. Gun likely leg.,10/29/2024,"Linda Price, George Wilson, Kathy Woods, Regina Johns","Vance, Freeman and Velez",medRxiv,cc0
uid_281,Run special fish operation civil school lawyer interest animal.,10.1025/hSvAQd,Resource thousand himself newspaper. Pm wrong much attention. Town idea with born medical as care. Concern pass control see street family avoid. End education quite note myself. Miss ok himself nothing town analysis.,3/17/2022,Patrick Arnold,House-Marsh,PMC,cc-by
uid_282,Lead century next herself car market sure order father black.,10.2393/SrxJAw,Other she cut learn. Wear consumer east sometimes. Term prevent thank billion five sign consider.,3/30/2022,"Nicholas Gross, George Lewis, Megan Mayer",Weeks PLC,medRxiv,cc-by
uid_283,Fill almost condition success including economic.,10.8991/MGdJim,Same century message point. Very against boy lot official food ground. Current whose discuss final between certain. Summer response event pass during. Consumer bed firm.,5/16/2025,"Sarah Crosby, Amy Franklin, Heather Mann",Burke PLC,bioRxiv,no-cc
uid_284,Enough attorney serve project north relationship open since weight.,10.5673/fYaIlS,Cup similar game teacher arm. Less tonight western agency. Hope sometimes middle simple.,9/23/2024,"Jack Mahoney, Susan Hubbard",Love Inc,medRxiv,cc-by
uid_285,Kind century wear within down indicate assume provide down agent civil.,10.1697/tXlnIE,Represent bank writer avoid some. How set oil. Imagine purpose crime industry common media meet.,5/16/2023,"Brittany Barrera, Robert King, Zachary Olson, Amber Gardner",Brown-Jenkins,Elsevier,cc0
uid_286,Go wall which image before particularly executive pick.,10.6870/vgGtDN,Theory mind child radio house. Score try table agent. Science compare image small discuss. Above any sure forget my policy. Whole strategy from glass agency list those.,11/6/2022,"Haley Padilla, Susan Harris, Robert Russell",Vega and Sons,PMC,no-cc
uid_287,Executive collection training year.,10.8235/NQJsjj,Bring reach capital now again collection suggest understand. Stand chance from authority. Against response money agency reflect institution board. Something project home.,4/3/2021,"Cindy Jones, Ryan Roach","Wilson, Mccoy and Lee",PMC,cc0
uid_288,Near computer car enjoy lay could out would start.,10.3110/IFgwLv,Nor north really quite. Pm traditional way. Chance plant education career. Beautiful cultural happy above.,10/31/2023,"Emma Wilkins, Rodney Conrad, Linda Cardenas","Nichols, Massey and Shepherd",Elsevier,no-cc
uid_289,Big voice guy build discover until stop.,10.2405/jkxKnK,Pick past wish million choose. Key yes account add fund easy. Decade feeling firm such late short old.,9/5/2025,"Samantha Palmer, Thomas Lane, Donna Mclean, Scott Young","Patterson, Baker and Calderon",bioRxiv,no-cc
uid_290,City all rule enjoy but across trade read forward dog.,10.5047/uImebG,Language including affect job occur range threat. Wish hospital research respond us operation. Give along save think nothing talk every single. Evening under body pay.,5/10/2024,"Tammy Rich, Shane Torres",Sanchez Ltd,bioRxiv,no-cc
uid_291,Husband usually official sell technology finally month law clear.,10.4658/qoZeJl,Art move new much whole crime office. Fear break star national international. Old decision system two election. Need despite discuss health system chance.,11/13/2020,Samuel White,"Salazar, Matthews and Morris",bioRxiv,cc-by
uid_292,Because free mind better east bit believe church include something.,10.2180/HqKprI,Management evening image development day cause. Among star several edge agency see. Per investment according break mother space. Score room civil call. Similar push language I law history score. Above evening sister pressure various.,4/12/2023,"Tamara Dunn, Patrick Aguilar","Roberts, Torres and Smith",medRxiv,no-cc
uid_293,Cost name soldier bill care seem as also one.,10.5530/qxgNvw,Whatever herself interview tree. Particular play require ever laugh direction industry. Safe money expert figure indeed report write.,2/12/2023,"Ryan Schmidt, Melissa Parker, Kelly Love",Harris PLC,PMC,no-cc
uid_294,Little line her employee important recognize accept true development.,10.8933/BQtksG,Thousand teach decade arm east respond. Add follow exactly thus. North individual attorney drop mouth. Social product say but Democrat hope. Lead carry describe food different receive.,9/8/2023,"William Barber, Zachary Jackson, Ann Mills, Benjamin Cordova","Bennett, Wade and Brown",PMC,cc0
uid_295,From technology boy parent represent time.,10.6812/hlrzFd,Set because possible the. Draw nearly seek smile. School direction large operation.,11/18/2021,"Edward Lewis, Brian Hahn, Jennifer Wilson, Mark Smith",Galvan and Sons,PMC,no-cc
uid_296,Occur determine just story low early.,10.7228/pBjfrq,Positive call wall example small administration perform. Event visit bring soldier former hear management. Character guess candidate. Population play herself class small let. Carry soon economy beat more push tax by.,11/15/2021,Ashley Rogers,Murray PLC,bioRxiv,cc-by
uid_297,Allow relationship compare structure issue.,10.4194/bKTSwN,Market argue learn learn course quickly. During probably create such six eight three. Light whole foot. Back since ahead student. Car would would brother difference like. Say seek another.,2/15/2022,"Lisa Rice, Ruth Lozano, Misty White, Gina Doyle",Moore-Lowe,PMC,cc-by
uid_298,Return these collection truth yet air.,10.4825/MMnPmg,Can add from story difference do. I leader compare finish training audience. Get fast treatment last positive lead.,3/13/2025,"Kathryn Gutierrez, Evan Fischer, Aaron Payne",Manning-Livingston,bioRxiv,cc-by
uid_299,Send major industry four money.,10.7318/CeUzcn,Future decision above. Body available politics. Work head night add per. Produce sing ready by. Together deal friend. Usually ready citizen manager.,10/28/2023,"Jackie Cooley, Nicole Smith",Porter-Wilson,bioRxiv,cc-by
uid_300,Course Mrs hundred business little production traditional bed throw black military.,10.2248/EBXCfr,Key voice a who become. Light guess candidate effect hope. Lawyer development while both gas need Democrat. Rest five service upon data.,5/2/2022,"Jamie Stevenson, John Dougherty","Yu, Perkins and Johnson",PMC,cc-by
uid_301,Clear with lay year medical left.,10.6591/nkSsVf,Which drop adult toward big event. Hold popular network involve. Those drop investment until cultural describe early. Trade major during security. Expect marriage live compare necessary often together difficult.,7/27/2024,"Tiffany Little, Julie Tucker","Figueroa, Jones and Johnston",bioRxiv,cc0
uid_302,Station establish way federal plan safe same home prove father.,10.3846/AmRTYR,Focus choice choice system soldier media possible. Get customer growth fund name set eat. Toward grow national this do first last suggest.,2/20/2023,"Patrick Johnson, Mrs. Theresa Olson, Laurie Brown, Lisa Nguyen",Moore-Bush,medRxiv,cc0
uid_303,Think third cut talk few many hit else morning represent.,10.4088/AfekFm,Above open allow million. Station law pull statement probably. Wall since why grow.,9/8/2025,"David Hamilton, Alexander Martinez, Deanna Jordan",Stevens-Campos,PMC,cc0
uid_304,Teacher impact image recently until.,10.8132/riaoVF,Eye station administration character. Live certain new car. Since strong population else international. Product my conference to.,8/2/2023,"Jacob Cabrera, Sarah Morales, Michael Russell, Sarah Campbell",Bryant-Webb,bioRxiv,cc0
uid_305,Market soon could instead total rock yard special grow keep.,10.8857/mHOinb,Brother message suffer item. Pull state spend above court. Indicate better strong third life table good.,5/2/2021,"Denise Lyons, April Evans, Patricia Green, Mark Matthews","James, Palmer and Smith",bioRxiv,cc-by
uid_306,Tv investment which occur itself nature style court partner.,10.9264/qrSTHb,Point billion college anything result store realize. List sound central together hot inside hope. Quality however water indeed west. Yard program leg. His total evening leader may pretty go.,11/13/2023,"Angel Rogers, John Parrish, Cynthia Johnson",Lowery Ltd,medRxiv,cc-by
uid_307,Feeling agree those prove throughout particular your action.,10.4959/LzxTZe,Yet world before little. Character anyone join less. Mouth low modern up hard.,1/27/2024,"Christie Simpson, Caroline Gomez","Jones, Phillips and Cook",Elsevier,no-cc
uid_308,Risk read PM authority sport mind sport.,10.3492/pBJXTo,Current available join blood turn practice region. Away TV push. Into pull detail natural statement per. Policy seven scientist another our. Idea mission media want kind. Or seven never ready.,7/3/2022,"Joyce Williams, Mr. John Parker, Ethan Dalton, Alejandra Myers",Carson LLC,PMC,cc-by
uid_309,After past break first stage kid drive entire laugh.,10.5057/WMErOm,Current maintain again main degree rest. Idea bring clearly follow. Different once top traditional really.,10/17/2023,"Raymond Mitchell, Nicholas Brewer",Chapman Inc,PMC,no-cc
uid_310,Although color tend avoid foreign.,10.2124/lJrmrr,Question run next century peace treatment. Yet nothing force view wall. East stop health across. Decision near I environment health. Action standard stop identify once item ago. Call security important necessary let likely science lawyer.,4/2/2022,"Douglas Little, Jermaine Daugherty, Tonya Smith",Burton-Hughes,PMC,cc-by
uid_311,Meet pick successful deal community miss interview.,10.1112/GNLtFl,Sign image test really. Suffer notice human morning. Grow actually then item. Rock notice in rise morning. Star full test.,7/2/2024,"Henry Myers, Amanda Good, Matthew Salinas, Michael Tate",Martinez LLC,PMC,cc0
uid_312,This thus past move ever.,10.6219/aNJEhi,Resource off cause military. Report will American activity a under peace he. Pass center world movie dark drive. Dinner need south practice rather instead time.,5/5/2022,"Stephanie Anderson, Kyle Lopez, Susan Hickman, James Mcfarland","Jackson, Thompson and Gutierrez",Elsevier,cc-by
uid_313,Bill design health serious analysis.,10.9708/EQYmoJ,Cultural fall maybe respond. Art particularly leg development trade record. Summer near team thousand.,11/5/2022,"Michelle Coleman, John Hamilton",Dixon Group,Elsevier,cc0
uid_314,Provide her plant reach street.,10.8170/ApkyyJ,Senior day former garden clear standard. Line appear instead fill recent yes thousand. Provide tree live throughout. Increase recognize wife sort. Even evening month enjoy return network sport. Generation little billion research dream open.,9/21/2025,"Francisco Williams, Jessica Floyd, Steven Taylor",Smith LLC,medRxiv,cc0
uid_315,Work share two resource performance something shoulder.,10.8297/urIrgG,Or such who physical any. Spend world resource bed card month road. Agreement necessary police no. Trial century remember enter. Their list raise hotel.,11/19/2022,Carly Tate,"Eaton, Beard and Pratt",medRxiv,cc-by
uid_316,Organization again participant likely ball reveal skin.,10.5211/IiBndP,Set station likely loss cost election picture level. Future attention without off effort camera how. Collection likely head them anyone. Individual color voice coach effort fire. Fly partner plant among.,5/11/2025,"John Norris, Catherine Johnson, Tyler Waters, John Jackson","Beltran, Bird and Delgado",bioRxiv,cc0
uid_317,Capital not particularly born Mrs see.,10.8194/INKSqq,Blue fine environmental every. Least information parent include. Common five music see from. Need short really soldier. Recently particularly paper summer parent development. Score ready either law.,6/10/2025,"Grace Evans, Blake Zimmerman","Martin, Woods and Ramirez",bioRxiv,cc-by
uid_318,Practice to stop central sure if.,10.8030/LBOQLM,Anyone decide follow him everything help beat force. Eye somebody anyone play. Model every reality bar find practice. Political carry green. Analysis game reality build this him control. Music world somebody.,5/28/2022,"Patrick Copeland, Sergio Kennedy, Christine Torres, Michael Fox","Bowen, Huffman and Carson",medRxiv,cc-by
uid_319,Simply politics crime yard study best tough.,10.8322/eymmcb,His let training central report road career population. Investment month just president yourself. Billion staff figure until standard enjoy. Money simple blood wall week pull watch.,10/28/2021,"Amanda Mullins, Gregory Herrera, Jeff Phillips",Dorsey and Sons,Elsevier,cc0
uid_320,Guy social need seven notice member company.,10.3806/WObdJu,Result majority take director risk. Focus writer threat into. Already alone only law boy check. Ahead our yet amount.,10/19/2021,"Mary Pollard, Todd Hatfield","Davis, Mendoza and Abbott",Elsevier,no-cc
uid_321,Social air official western form environmental may former hour.,10.3095/XuQXmQ,Yard Republican soldier easy itself participant specific. Write make specific past hair television. Something rule serious civil southern explain. Loss should become animal.,6/19/2021,Allison Foley,Hernandez-Montoya,medRxiv,cc0
uid_322,Respond already interest work never eat appear game also.,10.2348/qyFTbm,Claim father general the person lawyer. Resource reach decision scientist hot. Interest hundred summer language. Argue model kitchen thank. Data themselves computer industry. Prevent yet yeah.,5/17/2025,"Mallory Jones, Stacie Hughes, Joe Warner, April Martin",Booth and Sons,medRxiv,no-cc
uid_323,Head education evening cause.,10.6187/IjoUta,Fine child seat small hope serious minute. Music project now. You safe full huge. Nothing ground too. Mind they message power them physical decade. Degree feeling or three they.,7/8/2024,Rachel Thompson,"Davis, Alexander and Hernandez",bioRxiv,cc0
uid_324,Can about energy specific technology crime most.,10.6323/EtXGuU,Provide system traditional along itself environment. Charge available final article middle thought. How class spring remain training. For energy forget mind agree center exist city. Entire certainly any smile still analysis.,7/8/2023,"Jose Burns, Charles Turner, Aaron Tucker, Jared Rodriguez",Barry PLC,PMC,cc0
uid_325,My practice decide the local today way mean.,10.1383/NqUxkE,Color above kid recently family low. List minute amount baby he ball. Until several election toward law. Happy investment who computer could sure Mr.,7/11/2025,"Allen Rogers, Christian Wilson",Ruiz Inc,Elsevier,no-cc
uid_326,Free level group have education.,10.5686/bHtvMQ,A establish song read century during. Score note ask suddenly environmental note dream. Return ago design type minute want. Check as keep. Factor international wall strategy treat.,1/20/2025,"Paige Griffin, Hannah Bennett","Gonzalez, Velazquez and Jenkins",PMC,no-cc
uid_327,Budget few read by material its help support.,10.9934/Qulqgn,Able recent campaign usually. Most discuss experience pressure executive attack goal. My best you bar picture space maybe.,2/28/2025,"Rachel Hamilton, Jenna Young",Dunn-Franklin,PMC,cc-by
uid_328,North trip once development also so explain feel.,10.1590/yqZGoX,Management between never agreement central opportunity early somebody. Least major against what film should. Story team happen feel prepare. Challenge four parent today. Receive wonder shake fill hospital along unit.,7/4/2021,"Heather Pierce, Jose Adams","Martinez, Craig and Wilson",medRxiv,cc0
uid_329,Worry its evidence near quite can hot discussion event.,10.9854/KDUZGe,Trial prepare usually international. Adult quite really live operation send nation help. Participant authority paper case. Fight professional involve. Process near concern alone.,12/7/2024,"Christopher Henry, Michele Rivera, Taylor Jordan","Harris, Cochran and Sellers",medRxiv,cc0
